situation_number,scenario_id,situation_title,age_group,screen_order,section,node_purpose,element_type,branch,approved_text,approval_status,source_document,character_count,mobile_length_warning
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,0,metadata,approved_source,working_title,root,Не хочу играть сегодня,утверждено,mental-skills-all-7-situations-approved-v1.md,22,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,1,Образовательная цель,approved_source,educational_goal,root,"Помочь родителю отреагировать на отказ ребёнка без давления, обесценивания или поспешного решения за него. Сначала понять причину отказа, а затем помочь ребёнку выбрать ближайший шаг, который он должен сделать сам.",утверждено,mental-skills-all-7-situations-approved-v1.md,214,Да
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,1,metadata,approved_source,short_title,root,Страх перед игрой,утверждено,mental-skills-all-7-situations-approved-v1.md,17,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,6–8,2,Вводная ситуация,approved_source,intro,root,До начала матча остаётся 10 минут. Ребёнок говорит:,утверждено,mental-skills-all-7-situations-approved-v1.md,51,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,6–8,3,Вводная ситуация,approved_source,intro,root,"> «Я не хочу играть сегодня. Боюсь, что у меня ничего не получится».",утверждено,mental-skills-all-7-situations-approved-v1.md,68,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,9–12,4,Вводная ситуация,approved_source,intro,root,До начала матча остаётся 10 минут. Ребёнок говорит:,утверждено,mental-skills-all-7-situations-approved-v1.md,51,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,9–12,5,Вводная ситуация,approved_source,intro,root,> «Я боюсь ошибиться и подвести команду. Не хочу играть сегодня».,утверждено,mental-skills-all-7-situations-approved-v1.md,65,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,13–16,6,Вводная ситуация,approved_source,intro,root,До начала матча остаётся 10 минут. Подросток говорит:,утверждено,mental-skills-all-7-situations-approved-v1.md,53,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,13–16,7,Вводная ситуация,approved_source,intro,root,"> «Сегодня не хочу играть. Чувствую, что сыграю плохо».",утверждено,mental-skills-all-7-situations-approved-v1.md,55,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,6–8,8,Первый вопрос родителю,approved_source,parent_question,root,Ребёнок смотрит на вас и ждёт ответа. Что вы скажете?,утверждено,mental-skills-all-7-situations-approved-v1.md,53,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,9–12,9,Первый вопрос родителю,approved_source,parent_question,root,Ребёнок говорит о страхе ошибки. Как вы ответите?,утверждено,mental-skills-all-7-situations-approved-v1.md,49,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,13–16,10,Первый вопрос родителю,approved_source,parent_question,root,"Подросток говорит, что не хочет играть сегодня. Как вы отреагируете?",утверждено,mental-skills-all-7-situations-approved-v1.md,68,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,11,Первый выбор,approved_source,initial_choice,root,"- **Вариант А:** Все волнуются. Начни с разминки.
- **Вариант Б:** Хорошо. Можешь сегодня не играть.
- **Вариант В:** Что тебя сейчас пугает больше всего?
- **Вариант Г:** Давай быстро обсудим игру.",утверждено,mental-skills-all-7-situations-approved-v1.md,198,Да
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,12,Вариант А. «Все волнуются. Начни с разминки»,approved_source,supporting_text,А,"Ребёнок соглашается выйти на разминку, но всё ещё выглядит напряжённым.",утверждено,mental-skills-all-7-situations-approved-v1.md,71,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,13,Вариант А. «Все волнуются. Начни с разминки»,approved_source,supporting_text,А,**Что вы скажете дальше?**,утверждено,mental-skills-all-7-situations-approved-v1.md,26,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,14,Вариант А. «Все волнуются. Начни с разминки»,approved_source,immediate_consequence,А1,"Ребёнок может выйти на поле, но будет думать не об игре, а о том, как не разочаровать команду и взрослых.",утверждено,mental-skills-all-7-situations-approved-v1.md,105,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,15,Вариант А. «Все волнуются. Начни с разминки»,approved_source,repeated_consequence,А1,"Страх ошибки может усиливаться, а готовность действовать смело — снижаться.",утверждено,mental-skills-all-7-situations-approved-v1.md,75,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,16,Вариант А. «Все волнуются. Начни с разминки»,approved_source,practical_advice,А1,Снимите с ребёнка ответственность за весь результат и верните его внимание к одному ближайшему действию.,утверждено,mental-skills-all-7-situations-approved-v1.md,104,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,17,Вариант А. «Все волнуются. Начни с разминки»,approved_source,ready_phrase,А1,> «Тебе не нужно сыграть весь матч идеально. Начни с первого игрового момента».,утверждено,mental-skills-all-7-situations-approved-v1.md,79,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,18,Вариант А. «Все волнуются. Начни с разминки»,approved_source,immediate_consequence,А2,"Ребёнок понимает, что его состояние заметили. Напряжение может немного снизиться.",утверждено,mental-skills-all-7-situations-approved-v1.md,81,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,19,Вариант А. «Все волнуются. Начни с разминки»,approved_source,repeated_consequence,А2,"Ему может стать проще говорить о своих переживаниях и действовать, даже когда волнение ещё не прошло.",утверждено,mental-skills-all-7-situations-approved-v1.md,101,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,20,Вариант А. «Все волнуются. Начни с разминки»,approved_source,practical_advice,А2,"Спокойно назовите состояние ребёнка, а затем задайте один короткий вопрос.",утверждено,mental-skills-all-7-situations-approved-v1.md,74,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,21,Вариант А. «Все волнуются. Начни с разминки»,approved_source,ready_phrase,А2,"> «Я вижу, что ты волнуешься. Как ты думаешь, что поможет тебе начать играть?»",утверждено,mental-skills-all-7-situations-approved-v1.md,78,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,22,Вариант А. «Все волнуются. Начни с разминки»,approved_source,immediate_consequence,А3,Вместо большой задачи «сыграть весь матч» у ребёнка появляется один понятный первый шаг.,утверждено,mental-skills-all-7-situations-approved-v1.md,88,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,23,Вариант А. «Все волнуются. Начни с разминки»,approved_source,repeated_consequence,А3,Ему может стать проще делить сложные ситуации на небольшие выполнимые действия.,утверждено,mental-skills-all-7-situations-approved-v1.md,79,Нет
1,PREMATCH_GAME_REFUSAL_01,Не хочу играть сегодня,all,24,Вариант А. «Все волнуются. Начни с разминки»,approved_source,practical_advice,А3,Не выбирайте первое действие за ребёнка. Предложите ему назвать его самостоятельно.,утверждено,mental-skills-all-7-situations-approved-v1.md,83,Нет
